series_id,name,english_name,image_link,creator,genres,synopsis,favorites,members,score,media_type
21,"Danjo no Yuujou wa Seiritsu suru? (Iya, Shinai!!)",Can a Boy-Girl Friendship Survive?,https://cdn.myanimelist.net/images/anime/1429/150067l.jpg,"{""studio"": ""J.C.Staff""}",Comedy|Romance|School,"Yuu Natsume met Himari Inuzuka in middle school while trying to sell his accessories made with preserved flowers. When Yuu told her about his dream to open a shop to sell his creations, Himari decided to help him. Now, in their second year of high school, Yuu sells his accessories online thanks to Himari modeling and promoting them. As Yuu's best friend, Himari declares that if his ambition does not come to fruition by the time they turn thirty, she will have to marry him herself._x000D_
_x000D_
Then, Yuu meets Rin Enomoto, a girl wearing one of his first designs. Yuu and Rin met as children years ago, and she was his first love. Himari pushes them together, hoping to help Yuu out of his creative slump and find a wife for him in the process. For the first time, another person understands Yuu's talent and wants to be friends with him. As Rin and Yuu get closer, however, Himari struggles to keep her feelings for her best friend in check._x000D_
_x000D_
[Written by MAL Rewrite]",665,127349,6.6,anime
22,Dragon Ball Daima,Dragon Ball Daima,https://cdn.myanimelist.net/images/anime/1723/145231l.jpg,"{""studio"": ""Toei Animation""}",Action|Adventure|Comedy|Fantasy|Martial Arts,"After saving the world from the destructive might of Majin Buu, Gokuu Son and his allies look forward to a well-earned rest. However, unbeknownst to them, their battle was recorded and observed by Gomah, an evil being who assumes the title of King in the Demon Realm, filling the void left behind with the death of former ruler Dabura._x000D_
_x000D_
At Gomah's side is Degesu, the younger brother of Higashi no Kaioshin, a being who lords over the universe. Jealous of his brother's power, Degesu works alongside Gomah to steal Earth's Dragon Balls and preemptively subdue any potential future enemies. Calling upon the power of the legendary dragon Shenron, Gomah wishes for Gokuu and his friends to be reverted into children, intending to rob them of the limitless power that defeated Buu. With Earth's greatest warriors shrunken down, Gomah abducts Dende, the planet's acting god._x000D_
_x000D_
But Gokuu refuses to be set back by his new body, working to master his younger form to fight as proficiently as he could as an adult. Joined by Kaioshin and Glorio���a mysterious but seemingly rebellious demon���Gokuu pursues Gomah to the Demon Realm in order to rescue Dende and restore his friends to their natural ages._x000D_
_x000D_
[Written by MAL Rewrite]",898,122314,7.62,anime
23,Engage Kiss,Engage Kiss,https://cdn.myanimelist.net/images/anime/1549/125495l.jpg,"{""studio"": ""A-1 Pictures""}",Action|Comedy|Love Polygon|Romance,"Bayron City, a pioneering metropolis built on a newly discovered energy source, promises every citizen a luxurious and comfortable lifestyle. In reality, young demon exterminator Shuu Ogata's life is far from extravagant. Despite running a private military business, he often struggles to make ends meet due to reckless expenses. Fortunately, Kisara, his demon partner, is more than eager to help Shuu with household matters���albeit a little too forcefully for his comfort._x000D_
_x000D_
The two work side by side, taking countermeasures against demon hazards, which stand as the biggest threats to the city. With danger lurking in the shadows, Shuu and Kisara strive to grant the town's safety; however, exterminating the possessed comes with a price unbeknownst to others._x000D_
_x000D_
[Written by MAL Rewrite]",1261,265052,6.79,anime
24,Eromanga-sensei,Eromanga Sensei,https://cdn.myanimelist.net/images/anime/2/86468l.jpg,"{""studio"": ""A-1 Pictures""}",Comedy|Ecchi|Otaku Culture|Romance,"One year ago, Sagiri Izumi became step-siblings with Masamune Izumi. But the sudden death of their parents tears their new family apart, resulting in Sagiri becoming a shut-in which cut her off from her brother and society._x000D_
_x000D_
While caring for what's left of his family, Masamune earns a living as a published light novel author with one small problem: he's never actually met his acclaimed illustrator, Eromanga-sensei, infamous for drawing the most lewd erotica. Through an embarrassing chain of events, he learns that his very own little sister was his partner the whole time!_x000D_
_x000D_
As new characters and challenges appear, Masamune and Sagiri must now face the light novel industry together. Eromanga-Sensei follows the development of their relationship and their struggle to become successful; and as Sagiri slowly grows out of her shell, just how long will she be able to hide her true persona from the rest of the world?_x000D_
_x000D_
[Written by MAL Rewrite]",2759,753186,6.32,anime
25,Fantasy Bishoujo Juniku Ojisan to,Life with an Ordinary Guy who Reincarnated into a Total Fantasy Knockout,https://cdn.myanimelist.net/images/anime/1430/120065l.jpg,"{""studio"": ""OLM""}",Adventure|Comedy|Fantasy|Isekai|Magical Sex Shift|Parody,"Since their days as students, Tsukasa Jinguuji has had incredible luck with women due to his good looks; Hinata Tachibana has had almost none, overshadowed by Jinguuji's brilliance. However, while Jinguuji has never shown interest in the opposite sex, Tachibana is always desperate for a girlfriend. Despite their polar differences, they continue to be best friends even in their thirties as salarymen. _x000D_
_x000D_
One night, the two are returning home from a mixer where Jinguuji was the center of attention as usual. In his drunken rambles, a frustrated Tachibana inadvertently wishes to become a beautiful girl with irresistible charm. As if the heavens were listening, a goddess suddenly shows herself before Jinguuji and Tachibana, transporting them to another world to defeat the Demon Lord and simultaneously granting Tachibana's desire._x000D_
_x000D_
Tachibana���now in the body of an impossibly perfect woman���has become so attractive that even Jinguuji is captivated. Moreover, Tachibana grows aware of Jinguuji's stunning appearance, finally understanding his popularity. Before they fall in love with each other, the duo must complete their mission or risk remaining prisoners to their infatuations forever._x000D_
_x000D_
[Written by MAL Rewrite]",852,198474,7.12,anime
26,Fate/stay night Movie: Heaven's Feel,Fate/stay night: Heaven's Feel,https://cdn.myanimelist.net/images/anime/1974/98158l.jpg,"{""studio"": ""ufotable""}",Action|Fantasy|Urban Fantasy,"The Fifth Holy Grail War continues, and the ensuing chaos results in higher stakes for all participants. Shirou Emiya continues to participate in the war, aspiring to be a hero of justice who saves everyone. He sets out in search of the truth behind a mysterious dark shadow and its murder spree, determined to defeat it._x000D_
_x000D_
Meanwhile, Shinji Matou sets his own plans into motion, threatening Shirou through his sister Sakura Matou. Shirou and Rin Toosaka battle Shinji, hoping to relieve Sakura from the abuses of her brother. But the ugly truth of the Matou siblings begins to surface, and many dark secrets are exposed._x000D_
_x000D_
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly continues to focus on the remaining Masters and Servants as they fight each other in the hopes of obtaining the Holy Grail. However, as darkness arises within Fuyuki City, even the state of their sacred war could be in danger._x000D_
_x000D_
[Written by MAL Rewrite]",3551,421124,8.47,anime
27,"Food Court de, Mata Ashita.",See You Tomorrow at the Food Court,https://cdn.myanimelist.net/images/anime/1039/150572l.jpg,"{""studio"": ""Atelier Pontdarc""}",Slice of Life,"To their classmates, Wada is a quiet rich girl while Yamamoto is an intimidating lone wolf...but what they don't know is that Wada is a mobile game addict in a passionate love-hate relationship (with a 2D character), and Yamamoto has a penchant for urban legends with eyes only for her favorite YouTuber. And their biggest not-so-secret secret���these unlikely friends meet at the food court every day after school to rant, rave, and learn what makes each other tick!_x000D_
_x000D_
(Source: Yen Press)",85,24329,7.53,anime
28,Gakkougurashi!,School-Live!,https://cdn.myanimelist.net/images/anime/1798/91548l.jpg,"{""studio"": ""Lerche""}",Horror|Mystery|Psychological|School|Slice of Life|Survival|Suspense,"Carefree high school senior Yuki Takeya every day looks forward to the School Living Club. Consisting of the president Yuuri Wakasa, the athletic Kurumi Ebisuzawa, the mature Miki Naoki, the supervising teacher Megumi Sakura, and club dog Taroumaru, the club prides itself on making the most of life at school. There is only one rule the club members have to follow: all members must live their entire lives within school grounds._x000D_
_x000D_
Gakkougurashi! follows the adventures of the School Living Club as they promote independence and self-determination through their lively time residing at Megurigaoka Private High School._x000D_
_x000D_
[Written by MAL Rewrite]",5661,473737,7.61,anime
29,Game Center Shoujo to Ibunka Kouryuu,Cultural Exchange With a Game Centre Girl,https://cdn.myanimelist.net/images/anime/1943/149719l.jpg,"{""studio"": ""Nomad""}",Comedy|Love Status Quo|Romance,"Renji Kusakabe, an arcade employee, one day notices a small foreign girl struggling to win a stuffed toy called ""Manly Koala"" from a crane game. Three hours later, after finishing his shift, Renji sees the girl still at the game, but the toy remains unmoved._x000D_
_x000D_
Feeling sorry for her, he decides to help. He inserts a 100-yen coin and, with one skillful try, wins the toy, which he then hands to the girl. Startled by this unexpected gesture, the girl looks at Renji with suspicion. Flustered, Renji hastily tells her it's a Valentine's Day gift. Little does he know, in her home country of England, Valentine's Day is traditionally when men give women gifts along with a confession of love._x000D_
_x000D_
(Source: MAL News)",64,27681,6.74,anime
30,Gamers!,Gamers!,https://cdn.myanimelist.net/images/anime/4/86828l.jpg,"{""studio"": ""PINE JAM""}",Comedy|Love Polygon|Otaku Culture|Romance|School|Video Game,"Keita Amano is a typical high school gamer living out an average student's life. One day, however, he has an unexpected meeting with the cutest girl in school that makes him want to disappear without a trace! _x000D_
_x000D_
This girl, Karen Tendou, is an exemplary student who is proclaimed to be the school's idol. She discovers that Amano is a gamer, and this newfound knowledge incites a passionate desire within her to recruit him into the game club. Upon visiting the club, Amano is forcefully made aware of a side to gaming wildly different than the one he loves so dearly. _x000D_
_x000D_
Tendou's interest in Amano begins shaking up what was once an uneventful life, filling it with spontaneity, awkwardness, and a little bit of mayhem. As a result, every day becomes a comical battle for Amano's sanity as he tries to adapt to these wild, unexpected changes._x000D_
_x000D_
[Written by MAL Rewrite]",2243,686376,6.73,anime
