source_type,source_id,name,english_name,creator,media_type,image_link,genres,synopsis,favorites,members,score,processed_at
mal,28999,Charlotte,Charlotte,"{""studio"": ""P.A. Works""}",anime,https://cdn.myanimelist.net/images/anime/1826/147276l.jpg,Drama|School|Super Power,"If not for his ability to take over people's mind and body, Yuu Otosaka would be an ordinary high school student. Though it only lasts for five seconds at a time, Yuu's mysterious power allowed him to cheat his way to the top of his class and  enter a prestigious high school, where he continues his dishonest acts.

His shenanigans are eventually stopped by Nao Tomori—the headstrong student council president from Hoshinoumi Academy—who sees through his deceit. Through coercion, Nao convinces Yuu to transfer to Hoshinoumi and join the student council. Hoshinoumi Academy is secretly an institution created for adolescents who possess supernatural abilities—with the student council serving as a means of locating those who abuse their powers.

With Yuu begrudgingly assisting in council affairs, the group sets out to find and protect new ability users from harm. However, as they further investigate the abilities, their findings entangle them in far more complicated matters than they could ever imagine.

[Written by MAL Rewrite]",24531,1714353,7.75,
mal,31553,Charlotte: Tsuyoimono-tachi,Charlotte: The Strong Ones,"{""studio"": ""P.A. Works""}",anime,https://cdn.myanimelist.net/images/anime/1709/98068l.jpg,Drama|School|Super Power,"Takehito Kumagami's clairvoyance leads his group of friends to another child with supernatural powers: Iori Sekiguchi, a mind reader. However, as they try to approach her, they realize her power makes her nearly impossible to pin down. Having been chosen by the club to handle this case, Nao Tomori and Yuu Otosaka must find a way to get around the child's unique ability before it is too late.

[Written by MAL Rewrite]",339,202983,7.5,
mal,16157,Choujigen Game Neptune The Animation,Hyperdimension Neptunia,"{""studio"": ""David Production""}",anime,https://cdn.myanimelist.net/images/anime/6/52141l.jpg,Action|Comedy|Fantasy|Sci-Fi|Parody,"After years of fruitless war between the four realms of Gamindustri (Planeptune, Lastation, Lowee and Leanbox) over Share energy, the source of their strength based on how much their people have faith in their goddesses, the four CPUs that rule over them have finally signed a friendship treaty. The treaty bans any attempt at claiming Share energy through military force, in hopes of bringing peace and prosperity to their worlds. Yet, a month after the treaty, Neptune, the CPU Goddess of Planeptune, spends her time goofing off and playing games rather than doing her job, leaving her land's Shares plummeting.

Choujigen Game Neptune The Animation follows Neptune and her friends' attempts at raising Shares, while dealing with an external threat that could spell the end of both the Goddesses and Gamindustri itself...",1201,157273,6.89,
mal,14741,Chuunibyou demo Koi ga Shitai!,"Love, Chunibyo & Other Delusions!","{""studio"": ""Kyoto Animation""}",anime,https://cdn.myanimelist.net/images/anime/1905/142840l.jpg,Comedy|Romance|School,"Everybody has had that stage in their life where they have thought themselves to be special, different from the masses of ordinary humans. They might go as far as seeing themselves capable of wielding mystical powers, or maybe even believe themselves to have descended from a fantasy realm. This ""disease"" is known as ""chuunibyou"" and is often the source of some of the most embarrassing moments of a person's life.

For Yuuta Togashi, the scars that his chuunibyou has left behind are still fresh. Having posed as the ""Dark Flame Master"" during his middle school years, he looks back at those times with extreme embarrassment, so much so that he decides to attend a high school far away where nobody will recognize him. Putting his dark history behind him, he longs to live a normal high school life.

Unfortunately, he hasn't escaped his past yet: enter Rikka Takanashi, Yuuta's new classmate and self-declared vessel of the ""Wicked Eye."" As this eccentric young girl crashes into Yuuta's life, his dream of an ordinary, chuunibyou-free life quickly crumbles away. In this hilarious and heartwarming story of a boy who just wants to leave his embarrassing memories behind, the delusions of old are far from a thing of the past.

[Written by MAL Rewrite]",18601,1427630,7.7,
mal,16934,Chuunibyou demo Koi ga Shitai! Kirameki no... Slapstick Noel,"Love, Chunibyo & Other Delusions!: Sparkling... Slapstick Noel","{""studio"": ""Kyoto Animation""}",anime,https://cdn.myanimelist.net/images/anime/7/45512l.jpg,Comedy|Romance|School,"Although Yuuta Togashi and Rikka Takanashi have just started dating, they do not know how to progress their young relationship. Due to both of them being shy, neither of them are capable of making the first move. Rikka decides to ask her class representative Shinka Nibutani for some love advice, and she advises Rikka get closer to Yuuta during the Christmas season. Following the suggestion of Yuuta's friend, Makoto Isshiki, they hold a Christmas party at Sanae Dekomori’s place.

During the party, Yuuta notices Rikka has gone missing and searches for her. When he finds Rikka, he notices that she is acting strange and quickly figures out that she and Sanae are both drunk! How will this Christmas party turn out for the budding couple?

[Written by MAL Rewrite]",198,243542,7.49,
mal,15687,Chuunibyou demo Koi ga Shitai! Lite,"Love, Chunibyo & Other Delusions!: Chuni-Shorts","{""studio"": ""Kyoto Animation""}",anime,https://cdn.myanimelist.net/images/anime/5/42655l.jpg,Comedy|School,Short episodes aired on KyoAni's official YouTube channel.,178,147862,7.26,
mal,35608,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,"Love, Chunibyo & Other Delusions!: Take On Me","{""studio"": ""Kyoto Animation""}",anime,https://cdn.myanimelist.net/images/anime/2/89974l.jpg,Comedy|Drama|Romance|School,"Although already a third-year high school student, Rikka Takanashi remains a chuunibyou—a ""disease"" that causes people to fantasize about themselves and their surroundings. Her relationship with Yuuta Togashi has also gone unchanged for the past six months, and with entrance exams right around the corner, both of them strive to enroll at the same college. However, Tooka—Rikka's elder sister—decides to take Rikka to Italy as she has found a stable job there. This unforeseen turn of events causes a commotion between the couple as neither of them want to be separated from each other. Desperate for ideas, they seek assistance from their friends, and after a brief conversation, they come up with a plan—to elope.

Chuunibyou demo Koi ga Shitai! Movie: Take On Me is a sensational drama featuring the couple—Yuuta and Rikka—as they journey across Japan. The two attempt to prevent Rikka from being taken to Italy, but will they be able to succeed in doing so?

[Written by MAL Rewrite]",1682,292487,8.1,
mal,18671,Chuunibyou demo Koi ga Shitai! Ren,"Love, Chunibyo & Other Delusions!: Heart Throb","{""studio"": ""Kyoto Animation""}",anime,https://cdn.myanimelist.net/images/anime/7/56643l.jpg,Comedy|Romance|School,"The awkward lovebirds, Yuuta Togashi and Rikka Takanashi are now living together as they enter a new school year, but their adorable relationship remains stagnant. Yuuta struggles to adapt to having a chuuni girlfriend while the gang—Sanae Dekomori, Shinka Nibutani and Kumin Tsuyuri—are still keeping up with their quirks despite having advanced a grade. Making matters worse, another chuuni girl from Yuuta's middle school, Satone Shichimiya, appears...

With the various events revolving around Yuuta, will he be able to develop his relationship with Rikka?

[Written by MAL Rewrite]",2648,779790,7.55,
mal,21797,Chuunibyou demo Koi ga Shitai! Ren Lite,"Love, Chunibyo & Other Delusions!: Heart Throb Lite Shorts","{""studio"": ""Kyoto Animation""}",anime,https://cdn.myanimelist.net/images/anime/7/57457l.jpg,Comedy|School,Short episodes aired on KyoAni's official YouTube channel.,66,93063,7.18,
mal,27601,Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars,"Love, Chunibyo & Other Delusions!: Heart Throb - The Rikka Wars","{""studio"": ""Kyoto Animation""}",anime,https://cdn.myanimelist.net/images/anime/3/66827l.jpg,Comedy|Drama|Romance|School,"One normal school day, Rikka Takanashi notices Makoto Isshiki secretly passing a flash drive to Yuuta Togashi. Curious, Rikka talks to her friends about the case, who agree that Yuuta is hiding something from her. They decide to discover the contents of the flash drive by any means necessary, but to their surprise, it merely contained pictures of an idol that Yuuta adored back in middle school. However, Rikka takes offense, as she claims that this breaks their contract as lovers and demands Yuuta to return the flash drive.

Although having seen Yuuta return the flash drive, she still felt uncertain about the situation. This leads to her sneaking into Yuuta's room during the night, only to find out that the flash drive had not been returned! Scanning through its contents, she hurriedly rushes to bed when Yuuta enters her room. To her terror, she finds the flash drive crushed due to her negligence in keeping it in a safe place. Yuuta quickly finds out and demands an apology. However, Rikka too, demands an apology from him, resulting in both of them refusing to be the one to apologize first. Will the two lovebirds be able to resolve their argument?

[Written by MAL Rewrite]",124,143904,7.45,
